fold_id,sampling,model_name,tn,fp,fn,tp,accuracy,precision,recall,f1_score,roc_auc,rb_recall
1,baseline,logistic_regression,129,10,17,55,0.8720379146919431,0.8461538461538461,0.7638888888888888,0.8029197080291971,0.9198641087130296,0.7638888888888888
1,baseline,random_forest_classifier,129,10,21,51,0.8530805687203792,0.8360655737704918,0.7083333333333334,0.7669172932330827,0.9230615507593924,0.7083333333333334
1,baseline,feedforward_neural_network,127,12,19,53,0.8530805687203792,0.8153846153846154,0.7361111111111112,0.7737226277372263,0.9217625899280576,0.7361111111111112
1,smote,logistic_regression,124,15,12,60,0.8720379146919431,0.8,0.8333333333333334,0.8163265306122449,0.9177657873701041,0.8333333333333334
1,smote,random_forest_classifier,128,11,15,57,0.8767772511848341,0.8382352941176471,0.7916666666666666,0.8142857142857143,0.926558752997602,0.7916666666666666
1,smote,feedforward_neural_network,120,19,11,61,0.8578199052132701,0.7625,0.8472222222222222,0.8026315789473685,0.9230615507593926,0.8472222222222222
2,baseline,logistic_regression,125,15,16,55,0.8530805687203792,0.7857142857142857,0.7746478873239436,0.7801418439716312,0.9199195171026157,0.7746478873239436
2,baseline,random_forest_classifier,131,9,15,56,0.8862559241706162,0.8615384615384616,0.7887323943661971,0.8235294117647058,0.941046277665996,0.7887323943661971
2,baseline,feedforward_neural_network,122,18,13,58,0.8530805687203792,0.7631578947368421,0.8169014084507042,0.7891156462585034,0.9198189134808853,0.8169014084507042
2,smote,logistic_regression,115,25,10,61,0.8341232227488151,0.7093023255813954,0.8591549295774648,0.7770700636942676,0.9105633802816901,0.8591549295774648
2,smote,random_forest_classifier,128,12,13,58,0.8815165876777251,0.8285714285714286,0.8169014084507042,0.8226950354609929,0.9421529175050302,0.8169014084507042
2,smote,feedforward_neural_network,125,15,13,58,0.8672985781990521,0.7945205479452054,0.8169014084507042,0.8055555555555556,0.9237424547283701,0.8169014084507042
3,baseline,logistic_regression,129,11,14,57,0.8815165876777251,0.8382352941176471,0.8028169014084507,0.8201438848920863,0.9413480885311871,0.8028169014084507
3,baseline,random_forest_classifier,131,9,18,53,0.8720379146919431,0.8548387096774194,0.7464788732394366,0.7969924812030075,0.9425553319919516,0.7464788732394366
3,baseline,feedforward_neural_network,122,18,16,55,0.8388625592417062,0.7534246575342466,0.7746478873239436,0.7638888888888888,0.921327967806841,0.7746478873239436
3,smote,logistic_regression,123,17,9,62,0.8767772511848341,0.7848101265822784,0.8732394366197183,0.8266666666666667,0.9398390342052314,0.8732394366197183
3,smote,random_forest_classifier,129,11,18,53,0.8625592417061612,0.828125,0.7464788732394366,0.7851851851851852,0.9422535211267606,0.7464788732394366
3,smote,feedforward_neural_network,126,14,12,59,0.8767772511848341,0.8082191780821918,0.8309859154929577,0.8194444444444444,0.9370221327967807,0.8309859154929577
4,baseline,logistic_regression,128,12,13,58,0.8815165876777251,0.8285714285714286,0.8169014084507042,0.8226950354609929,0.9243460764587524,0.8169014084507042
4,baseline,random_forest_classifier,130,10,17,54,0.8720379146919431,0.84375,0.7605633802816901,0.8,0.9348088531187123,0.7605633802816901
4,baseline,feedforward_neural_network,129,11,14,57,0.8815165876777251,0.8382352941176471,0.8028169014084507,0.8201438848920863,0.923440643863179,0.8028169014084507
4,smote,logistic_regression,121,19,9,62,0.8672985781990521,0.7654320987654321,0.8732394366197183,0.8157894736842105,0.9268611670020122,0.8732394366197183
4,smote,random_forest_classifier,128,12,14,57,0.8767772511848341,0.8260869565217391,0.8028169014084507,0.8142857142857143,0.9352112676056338,0.8028169014084507
4,smote,feedforward_neural_network,128,12,14,57,0.8767772511848341,0.8260869565217391,0.8028169014084507,0.8142857142857143,0.9244466800804828,0.8028169014084507
5,baseline,logistic_regression,125,15,14,57,0.8625592417061612,0.7916666666666666,0.8028169014084507,0.7972027972027972,0.9325955734406438,0.8028169014084507
5,baseline,random_forest_classifier,131,9,18,53,0.8720379146919431,0.8548387096774194,0.7464788732394366,0.7969924812030075,0.9406438631790744,0.7464788732394366
5,baseline,feedforward_neural_network,125,15,13,58,0.8672985781990521,0.7945205479452054,0.8169014084507042,0.8055555555555556,0.9305835010060363,0.8169014084507042
5,smote,logistic_regression,120,20,11,60,0.8530805687203792,0.75,0.8450704225352113,0.7947019867549668,0.9282696177062374,0.8450704225352113
5,smote,random_forest_classifier,130,10,17,54,0.8720379146919431,0.84375,0.7605633802816901,0.8,0.9382293762575453,0.7605633802816901
5,smote,feedforward_neural_network,132,8,16,55,0.8862559241706162,0.873015873015873,0.7746478873239436,0.8208955223880597,0.9364185110663984,0.7746478873239436
